"Search entire store here...","Search ..."
"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"Write Us","Sebd Us a Message"
"Create an Account","Register"
"Add Gift Card","Apply"
"Apply Discount","Apply"
"Shopping Options","Filters"
"Forgot Your Password?","Forgot Your Password?"
"Add Invitee","Add Another Friend"
"Send Email","Send Message"
"We found other products you might like!","You may also like"
"Your Rating","Your Rating"
"Nickname","Nickname"
"Summary","Title"
"Submit Review","Submit Review"
"Order Total","Total"
"More Choices:","You may also like"
"My Wish Lists","My Wish List"
"Sign In", "Sign In"
